Unnamed: 0,subject,date,region,eid,fiber,added,BNC ,path
239,ZFM-04019,2022-03-18,Region5G,59dada8a-a1c2-4ab5-bc10-b1baefcaaeaa,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-03-18/001/raw_photometry_data/raw_photometry.csv
423,ZFM-03448,2022-03-18,Region6G,f6db4990-1a5e-470d-9a55-a494da38c9ff,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-18/002/raw_photometry_data/raw_photometry.csv
585,ZFM-03059,2022-03-18,Region5G,10e13954-53dd-4a07-86bd-9bff46459efc,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-18/001/raw_photometry_data/raw_photometry.csv
634,ZFM-04026,2022-03-18,Region6G,7fabcc8d-09d6-4981-b447-6f7918af9e5e,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-18/001/raw_photometry_data/raw_photometry.csv
837,ZFM-03447,2022-03-18,Region5G,9df9120b-c257-4946-aff4-363de9c8c8ad,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-18/001/raw_photometry_data/raw_photometry.csv
83,ZFM-03447,2022-03-21,Region5G,537a23f7-c243-4f38-9783-3bcb77b09212,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-21/001/raw_photometry_data/raw_photometry.csv
409,ZFM-03448,2022-03-21,Region6G,ef348c98-ff68-4b73-ae00-1931abe26272,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-21/001/raw_photometry_data/raw_photometry.csv
460,ZFM-04026,2022-03-21,Region6G,28291060-39e1-4842-b794-bdb3dc40b851,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-21/002/raw_photometry_data/raw_photometry.csv
846,ZFM-04019,2022-03-21,Region5G,ba1b77b8-a44c-4ed6-b2da-a146d85e1325,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-03-21/002/raw_photometry_data/raw_photometry.csv
250,ZFM-04026,2022-03-22,Region6G,507bdfd5-59be-4291-868b-919b00983f43,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-22/001/raw_photometry_data/raw_photometry.csv
299,ZFM-04019,2022-03-22,Region5G,43a46dbc-884e-44b7-b6be-89c9bca3f45b,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-03-22/001/raw_photometry_data/raw_photometry.csv
700,ZFM-03447,2022-03-22,Region1G,5215b352-02fc-4af3-80e5-ce5b2e8888db,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-22/001/raw_photometry_data/raw_photometry.csv
173,ZFM-03448,2022-03-23,Region6G,a20839e3-1756-4d16-9a7f-a2871651be4d,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-23/001/raw_photometry_data/raw_photometry.csv
425,ZFM-04026,2022-03-23,Region6G,0d6bc8ad-f724-474c-a41b-1203e6fb816f,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-23/002/raw_photometry_data/raw_photometry.csv
578,ZFM-03447,2022-03-23,Region5G,c092175c-789d-4d01-8e8a-33927953fad7,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-23/001/raw_photometry_data/raw_photometry.csv
155,ZFM-03448,2022-03-24,Region6G,c4f3df45-15c6-4a63-8463-011f6ead6786,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-24/001/raw_photometry_data/raw_photometry.csv
197,ZFM-04019,2022-03-24,Region5G,4f3e65d5-a74b-4470-84ad-e1ef40f7b9ac,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-03-24/001/raw_photometry_data/raw_photometry.csv
240,ZFM-04026,2022-03-24,Region5G,ad4cd658-c311-41f2-9141-f9d1b559187f,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-24/001/raw_photometry_data/raw_photometry.csv
513,ZFM-04022,2022-03-24,Region6G,8144346d-e592-4a29-8981-9798ad620ea2,probe12,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-03-24/001/raw_photometry_data/raw_photometry.csv
623,ZFM-03447,2022-03-24,Region5G,db14d055-31c5-4a7e-a09a-3ab89aafa473,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-24/001/raw_photometry_data/raw_photometry.csv
57,ZFM-04022,2022-03-25,Region6G,9b64a5d8-e04c-4d7c-b6a5-cb16fe8e56bb,probe13,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-03-25/002/raw_photometry_data/raw_photometry.csv
84,ZFM-03447,2022-03-25,Region6G,99d32415-3e41-468c-a21e-17f30063eb31,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-25/001/raw_photometry_data/raw_photometry.csv
212,ZFM-04019,2022-03-25,Region5G,7d8ed0b8-63ea-4f1f-961c-5be0b1db46dd,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-03-25/002/raw_photometry_data/raw_photometry.csv
225,ZFM-03448,2022-03-25,Region5G,d034a032-26ba-4b93-8ee8-c52e8b08db2b,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-25/003/raw_photometry_data/raw_photometry.csv
521,ZFM-04026,2022-03-25,Region5G,ee26dbc4-ad5a-49a8-97f4-4225d0c487f7,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-25/001/raw_photometry_data/raw_photometry.csv
186,ZFM-03448,2022-03-28,Region6G,2c12c53e-c176-4428-ab4a-4600b105bfea,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-28/002/raw_photometry_data/raw_photometry.csv
196,ZFM-04022,2022-03-28,Region6G,0ac3c24a-e379-4a3a-bafb-bad6c91dd2af,probe12,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-03-28/001/raw_photometry_data/raw_photometry.csv
437,ZFM-03447,2022-03-28,Region5G,c7ce2f64-2e74-4b39-9c32-bb72cba922c1,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-28/001/raw_photometry_data/raw_photometry.csv
597,ZFM-04026,2022-03-28,Region5G,95a7c668-77d5-4e40-8cf8-cbb67e8b3e5c,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-28/001/raw_photometry_data/raw_photometry.csv
620,ZFM-04019,2022-03-28,Region5G,4475c850-42b2-4a13-9e06-3ec5eda13e70,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-03-28/001/raw_photometry_data/raw_photometry.csv
330,ZFM-03448,2022-03-29,Region5G,7501cfc9-17f1-4940-a932-70ae2ed2c463,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-03-29/001/raw_photometry_data/raw_photometry.csv
785,ZFM-03447,2022-03-29,Region6G,141cd1ec-1ed3-4407-886f-0d6240c80988,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-03-29/001/raw_photometry_data/raw_photometry.csv
788,ZFM-04022,2022-03-29,Region6G,368fa77f-1d54-40b0-ace4-bb36ab2b778a,probe13,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-03-29/001/raw_photometry_data/raw_photometry.csv
871,ZFM-04026,2022-03-29,Region5G,e2eb28c5-9198-4275-8845-68838088fdaf,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-03-29/002/raw_photometry_data/raw_photometry.csv
229,ZFM-03059,2022-03-31,Region5G,a2e65766-0f40-46dd-91cf-b56540cb033b,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-31/001/raw_photometry_data/raw_photometry.csv
718,ZFM-03059,2022-03-31,Region6G,a2e65766-0f40-46dd-91cf-b56540cb033b,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-31/001/raw_photometry_data/raw_photometry.csv
103,ZFM-03059,2022-04-01,Region5G,f36ae1d4-20e0-47ee-b4bd-9649810d87e0,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-01/001/raw_photometry_data/raw_photometry.csv
209,ZFM-03450,2022-04-01,Region6G,7ff2e8c0-e4ee-44a0-823a-d1cd27a19581,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-04-01/001/raw_photometry_data/raw_photometry.csv
218,ZFM-04022,2022-04-01,Region6G,36c701f5-ddfb-4aee-bcde-5a6007f58243,probe12,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-04-01/001/raw_photometry_data/raw_photometry.csv
234,ZFM-03447,2022-04-01,Region6G,a4646257-d6b7-450b-84f9-49ce09a07402,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-04-01/002/raw_photometry_data/raw_photometry.csv
364,ZFM-03447,2022-04-01,Region5G,a4646257-d6b7-450b-84f9-49ce09a07402,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-04-01/002/raw_photometry_data/raw_photometry.csv
615,ZFM-04019,2022-04-01,Region5G,d8f4b6a3-6ce3-49bd-8075-4a3d0ce737fc,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-04-01/002/raw_photometry_data/raw_photometry.csv
653,ZFM-03059,2022-04-01,Region6G,f36ae1d4-20e0-47ee-b4bd-9649810d87e0,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-01/001/raw_photometry_data/raw_photometry.csv
848,ZFM-04026,2022-04-01,Region5G,ea36b277-f62b-44e1-827b-93c14d15c55d,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-04-01/001/raw_photometry_data/raw_photometry.csv
407,ZFM-03059,2022-04-04,Region5G,8cfa1e92-3e7f-409f-8347-01a36e98b27f,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-04/002/raw_photometry_data/raw_photometry.csv
144,ZFM-04022,2022-04-05,Region6G,6d9cbaba-9579-4eda-8ca0-0af6b3b3b206,probe12,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-04-05/001/raw_photometry_data/raw_photometry.csv
204,ZFM-03059,2022-04-05,Region5G,66d51ecb-b6a0-4293-84be-d4ccfb84ada8,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-05/001/raw_photometry_data/raw_photometry.csv
484,ZFM-04026,2022-04-05,Region5G,7cb37c14-df86-4f0e-94b4-585a66cad97e,probe10,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04026/2022-04-05/001/raw_photometry_data/raw_photometry.csv
665,ZFM-04019,2022-04-05,Region5G,3e7f5bf2-8e34-4cae-908d-7edb0ad0aa8a,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-04-05/001/raw_photometry_data/raw_photometry.csv
70,ZFM-04019,2022-04-06,Region5G,cfa56986-11cf-4cff-8f2e-6b8eeda6cb44,probe11,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04019/2022-04-06/001/raw_photometry_data/raw_photometry.csv
833,ZFM-04022,2022-04-06,Region6G,8a8666d6-6a59-4af7-a505-831c6534a216,probe13,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-04022/2022-04-06/001/raw_photometry_data/raw_photometry.csv
567,ZFM-03450,2022-04-08,Region6G,4e204864-ce6c-42af-a422-26ce09f9ce3f,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-04-08/001/raw_photometry_data/raw_photometry.csv
